SearchName,PreferredFoot
Onur Kivrak,Right
Paulinho,Right
Alberto Costa,Left
Kevin Trapp,Right
Susaeta,Right
Parejo,Right
Iturraspe,Right
Muniain~Muniaín,Right
Douglas Costa,Left
Eliaquim Mangala,Left
Stephan El Shaarawy,Right
Nicolas Otamendi~Nicolás Otamendi,Right
Ciro Immobile,Right
Romelu Lukaku,Left
Marko Basa~Marko Baša,Right
Holger Badstuber,Left
Maxime Gonalons,Right
Ryan Babel,Right
Ricardo Rodriguez,Left
Enzo Perez~Enzo Pérez,Right
Aymen Abdennour,Left
Marco Verratti,Right
Emmanuel Emenike,Right
Adrian Mierzejewski,Left
Raheem Sterling,Right
Ignacio Scocco,Right
Bernard,Right
Tabare Viudez~Tabaré Viúdez,Right
Dorlan Pabon~Dorlan Pabón,Right
Vedran Corluka~Vedran Corluka,Right
Robbie Keane,Right
Darijo Srna,Right
Andre-Pierre Gignac~André-Pierre Gignac,Right
Moussa Sow,Right
Joel Campbell,Left
Mehmet Topuz,Right
Juan Sanchez Mino~Juan Sánchez Miño,Left
Luciano Vietto,Right
Loic Remy~Loïc Rémy,Right
Matias Emilio Delgado~Matías Emilio Delgado,Right
Lima,Right
Pierre-Emerick Aubameyang,Right
Roman Eremenko,Right
Javi Garcia~Javi García,Right
Romain Hamouma,Right
Lorenzo Insigne,Right
Lassana Diarra,Right
Landon Donovan,Right
Danny Welbeck,Right
Stefano Mauri,Left
Tranquillo Barnetta,Right
Maxwell,Left
Burak Yilmaz,Right
Yacine Brahimi,Right
Morgan De Sanctis,Right
Rio Ferdinand,Right
Michael Carrick,Right
Claudio Pizarro,Right
Fabricio Coloccini,Right
Steven Pienaar,Right
Leonardo Pisculichi,Left
Michael Dawson,Right
Hugo Campagnaro,Right
Martin Demichelis~Martín Demichelis,Right
Edwin Cardona,Right
Michel Vorm,Right
Joleon Lescott,Left
Willy Caballero,Right
Helton,Right
Federico Marchetti,Left
Gonzalo Rodriguez~Gonzalo Rodríguez,Right
Olcan Adin,Left
Volkan Demirel,Right
Xabi Prieto,Right
Arbeloa,Right
Juanfran,Right
Ivica Olic~Ivica Olic,Left
Nathan Redmond,Right
Aaron Lennon,Right
Thomas Vermaelen,Left
Serge Aurier,Right
Katlego Mphela,Right
Valon Behrami,Right
Vedad Ibisevic~Vedad Ibiševic,Right
Younes Kaboul~Younès Kaboul,Right
Manuel Fernandes,Right
Ashley Williams,Right
Gabriel Paletta,Right
Geoffrey Mujangi Bia,Right
Royston Drenthe,Left
Semih Kaya,Right
Ron Vlaar,Right
Josip Drmic~Josip Drmic,Right
Jonny Evans,Right
Tim Krul,Left
Chris Burke,Right
Mario Suarez~Mario Suárez,Right
Raul Garcia~Raúl García,Right
Fabio Coentrao~Fábio Coentrão,Left
Mikel Gonzalez,Right
Lucas Leiva,Right
Kevin Gameiro~Kévin Gameiro,Right
Adrian Ramos~Adrián Ramos,Right
Marouane Fellaini,Right
Yann Sommer,Right
Olivier Giroud,Left
Lucas Lobos,Right
Sergio Asenjo,Right
Daniel Montenegro,Right
Lee Nguyen,Right
Jo Inge Berget,Right
Adam Lallana,Right
Rasmus Elm,Right
Martin Caceres~Martín Cáceres,Right
